Africa,アフリカ
Abidjan,アビジャン
Accra,アクラ
Addis_Ababa,アジスアベバ
Algiers,アルジェー
Asmara,アスマラ
Asmera,アスマラ
Bamako,バマコ
Bangui,バンギ
Banjul,バンジュル
Bissau,ビサウ
Blantyre,ブランタイア
Brazzaville,ブラザビル
Bujumbura,ブジュンブラ
Cairo,カイロ
Casablanca,カサブランカ
Ceuta,セウタ
Conakry,コナクリ
Dakar,ダカール
Dar_es_Salaam,ダルエスサラーム
Djibouti,ジブチ
Douala,ドゥアラ
El_Aaiun,アイウン
Freetown,フリータウン
Gaborone,ガボローネ
Harare,ハラレ
Johannesburg,ヨハネスブルク
Juba,ジューバ
Kampala,カンパラ
Khartoum,ハルツーム
Kigali,キガリ
Kinshasa,キンシャサ
Lagos,ラゴス
Libreville,リーブルビル
Lome,ロメ
Luanda,ルアンダ
Lubumbashi,ルブンバシ
Lusaka,ルサカ
Malabo,マラボ
Maputo,マプト
Maseru,マセル
Mbabane,ムババネ
Mogadishu,モガディシュ
Monrovia,モンロビア
Nairobi,ナイロビ
Ndjamena,ンジャメナ
Niamey,ニアメー
Nouakchott,ヌアクショット
Ouagadougou,ワガドゥグー
Porto-Novo,ポルトノボ
Sao_Tome,サントメ
Timbuktu,トンブクトゥ
Tripoli,トリポリ
Tunis,チュニス
Windhoek,ウィントフック
America,アメリカ
Adak,アダック
Anchorage,アンカレッジ
Anguilla,アングィラ
Antigua,アンティグア
Araguaina,アラグアイナ
Argentina,アルゼンチン
Buenos_Aires,ブエノスアイレス
Catamarca,カタマルカ
ComodRivadavia,ComodRivadavia
Cordoba,コルドバ
Jujuy,フフイ州
La_Rioja,ラリオハ
Mendoza,メンドーサ
Rio_Gallegos,リオガイェゴス
Salta,サルタ
San_Juan,サンファン
San_Luis,サンルイス
Tucuman,トゥクマン州
Ushuaia,ウスアイア
Aruba,アルバ
Asuncion,アスンシオン
Atikokan,Atikokan
Atka,アトカ島
Bahia,バイア州
Bahia_Banderas,バイーアデバンデラス
Barbados,バルバドス
Belem,ベレン
Belize,ベリーズ
Blanc-Sablon,ブラン·サブロン
Boa_Vista,ボアビスタ
Bogota,ボゴタ
Boise,ボイシ
Cambridge_Bay,ケンブリッジベイ
Campo_Grande,カンポグランデ
Cancun,カンクン
Caracas,カラカス
Cayenne,カイエンヌ
Cayman,カイマン
Chicago,シカゴ
Chihuahua,チワワ
Coral_Harbour,コー​​ラルハーバー
Costa_Rica,コスタリカ
Creston,クレストン
Cuiaba,クイアバ
Curacao,キュラソー島
Danmarkshavn,デンマークシャン
Dawson,ドーソン
Dawson_Creek,ドーソンクリーク
Denver,デンバー
Detroit,デトロイト
