Africa,Africa
Abidjan,Abidjan
Accra,Accra
Addis_Ababa,Addis Ababa
Algiers,Algiers
Asmara,Asmara
Asmera,Asmera
Bamako,Bamako
Bangui,Bangui
Banjul,Banjul
Bissau,Bissau
Blantyre,Blantyre
Brazzaville,Brazzaville
Bujumbura,Bujumbura
Cairo,Cairo
Casablanca,Casablanca
Ceuta,Ceuta
Conakry,Conakry
Dakar,Dakar
Dar_es_Salaam,Dar es Salaam
Djibouti,Djibouti
Douala,Douala
El_Aaiun,El Aaiun
Freetown,Freetown
Gaborone,Gaborone
Harare,Harare
Johannesburg,Johannesburg
Juba,Juba
Kampala,Kampala
Khartoum,Khartoum
Kigali,Kigali
Kinshasa,Kinshasa
Lagos,Lagos
Libreville,Libreville
Lome,Lome
Luanda,Luanda
Lubumbashi,Lubumbashi
Lusaka,Lusaka
Malabo,Malabo
Maputo,Maputo
Maseru,Maseru
Mbabane,Mbabane
Mogadishu,Mogadishu
Monrovia,Monrovia
Nairobi,Nairobi
Ndjamena,Ndjamena
Niamey,Niamey
Nouakchott,Nouakchott
Ouagadougou,Ouagadougou
Porto-Novo,Porto-Novo
Sao_Tome,Sao Tome
Timbuktu,Timbuktu
Tripoli,Tripoli
Tunis,Tunis
Windhoek,Windhoek
America,America
Adak,Adak
Anchorage,Anchorage
Anguilla,Anguilla
Antigua,Antigua
Araguaina,Araguaina
Argentina,Argentina
Buenos_Aires,Buenos Aires
Catamarca,Catamarca
ComodRivadavia,ComodRivadavia
Cordoba,Cordoba
Jujuy,Jujuy
La_Rioja,La Rioja
Mendoza,Mendoza
Rio_Gallegos,Rio Gallegos
Salta,Salta
San_Juan,San Juan
San_Luis,San Luis
Tucuman,Tucuman
Ushuaia,Ushuaia
Aruba,Aruba
Asuncion,Asuncion
Atikokan,Atikokan
Atka,Atka
Bahia,Bahia
Bahia_Banderas,Bahia Banderas
Barbados,Barbados
Belem,Belem
Belize,Belize
Blanc-Sablon,Blanc-Sablon
Boa_Vista,Boa Vista
Bogota,Bogota
Boise,Boise
Cambridge_Bay,Cambridge Bay
Campo_Grande,Campo Grande
Cancun,Cancun
Caracas,Caracas
Cayenne,Cayenne
Cayman,Cayman
Chicago,Chicago
Chihuahua,Chihuahua
Coral_Harbour,Coral Harbour
Costa_Rica,Costa Rica
Creston,Creston
Cuiaba,Cuiaba
Curacao,Curacao
Danmarkshavn,Danmarkshavn
Dawson,Dawson
Dawson_Creek,Dawson Creek
Denver,Denver
Detroit,Detroit
Dominica,Dominica
Edmonton,Edmonton
Eirunepe,Eirunepe
El_Salvador,El Salvador
Ensenada,Ensenada
Fort_Wayne,Fort Wayne
Fortaleza,Fortaleza
Glace_Bay,Glace Bay
Godthab,Godthab
Goose_Bay,Goose Bay
Grand_Turk,Grand Turk
Grenada,Grenada
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guayaquil,Guayaquil
Guyana,Guyana
Halifax,Halifax
Havana,Havana
Hermosillo,Hermosillo
Indiana,Indiana
Indianapolis,Indianapolis
Knox,Knox
Marengo,Marengo
Petersburg,Petersburg
Tell_City,Tell City
Vevay,Vevay
Vincennes,Vincennes
Winamac,Winamac
Inuvik,Inuvik
Iqaluit,Iqaluit
Jamaica,Jamaica
Juneau,Juneau
Kentucky,Kentucky
